CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn_YesNo
314921.0,36.0,Male,10.0,14.0,1.0,20.0,Standard,Annual,736.02,27.0,No
401716.0,40.0,Male,20.0,23.0,4.0,6.0,Standard,Quarterly,897.3,29.0,No
99832.0,36.0,Female,52.0,23.0,1.0,0.0,Standard,Quarterly,697.0,29.0,Yes
168747.0,65.0,Male,55.0,3.0,10.0,14.0,Basic,Quarterly,130.0,6.0,Yes
126369.0,36.0,Male,49.0,1.0,1.0,23.0,Standard,Annual,136.0,18.0,Yes
153212.0,55.0,Male,8.0,10.0,8.0,24.0,Standard,Monthly,709.0,13.0,Yes
198312.0,22.0,Male,3.0,14.0,4.0,28.0,Premium,Annual,641.0,13.0,Yes
424711.0,39.0,Male,41.0,25.0,3.0,15.0,Basic,Quarterly,683.52,10.0,No
121600.0,36.0,Male,38.0,18.0,7.0,25.0,Basic,Monthly,441.0,2.0,Yes
394723.0,44.0,Female,54.0,23.0,0.0,11.0,Standard,Annual,909.02,15.0,No
359957.0,28.0,Male,54.0,13.0,1.0,1.0,Basic,Quarterly,619.8,12.0,No
122684.0,45.0,Male,25.0,29.0,6.0,22.0,Premium,Monthly,762.0,28.0,Yes
434012.0,19.0,Male,36.0,9.0,1.0,14.0,Basic,Annual,960.41,16.0,No
51283.0,32.0,Male,41.0,4.0,8.0,0.0,Standard,Annual,593.0,15.0,Yes
415630.0,37.0,Female,36.0,17.0,0.0,11.0,Premium,Annual,554.22,9.0,No
387461.0,37.0,Female,44.0,4.0,0.0,3.0,Standard,Annual,663.84,9.0,No
435786.0,48.0,Male,2.0,2.0,1.0,6.0,Standard,Annual,981.85,4.0,No
369112.0,27.0,Female,18.0,18.0,1.0,20.0,Standard,Quarterly,793.45,1.0,No
263263.0,24.0,Female,5.0,27.0,2.0,2.0,Premium,Annual,899.68,5.0,No
172034.0,59.0,Male,51.0,23.0,7.0,5.0,Standard,Quarterly,370.0,26.0,Yes
131913.0,18.0,Male,18.0,22.0,5.0,29.0,Premium,Annual,784.0,9.0,Yes
143521.0,60.0,Female,8.0,10.0,3.0,22.0,Premium,Monthly,551.0,24.0,Yes
177553.0,44.0,Male,25.0,7.0,10.0,16.0,Premium,Monthly,425.0,14.0,Yes
426397.0,46.0,Female,4.0,29.0,1.0,5.0,Standard,Annual,733.91,10.0,No
273171.0,50.0,Female,29.0,1.0,3.0,0.0,Basic,Quarterly,622.57,5.0,No
386188.0,48.0,Female,35.0,9.0,3.0,9.0,Basic,Quarterly,709.21,4.0,No
173276.0,53.0,Female,55.0,6.0,0.0,28.0,Premium,Quarterly,756.0,2.0,Yes
398458.0,42.0,Male,58.0,18.0,1.0,4.0,Basic,Quarterly,603.91,21.0,No
250716.0,52.0,Female,2.0,29.0,3.0,9.0,Standard,Monthly,970.88,16.0,Yes
161623.0,43.0,Male,54.0,25.0,7.0,24.0,Premium,Monthly,708.0,4.0,Yes
82449.0,48.0,Female,31.0,6.0,1.0,13.0,Standard,Monthly,403.0,30.0,Yes
301127.0,32.0,Male,7.0,13.0,1.0,17.0,Basic,Annual,935.6,5.0,No
407936.0,21.0,Male,36.0,24.0,1.0,9.0,Premium,Annual,744.11,28.0,No
405878.0,31.0,Male,47.0,13.0,0.0,11.0,Premium,Annual,844.34,5.0,No
383410.0,41.0,Male,39.0,9.0,2.0,13.0,Standard,Annual,954.96,4.0,No
371758.0,37.0,Male,38.0,27.0,0.0,17.0,Standard,Quarterly,711.06,18.0,No
367516.0,37.0,Female,25.0,13.0,2.0,17.0,Premium,Annual,697.55,3.0,No
255479.0,56.0,Female,49.0,12.0,10.0,9.0,Standard,Quarterly,365.97,23.0,Yes
393462.0,27.0,Male,11.0,26.0,0.0,15.0,Standard,Annual,630.97,17.0,No
300824.0,41.0,Female,22.0,20.0,4.0,3.0,Premium,Annual,525.54,14.0,No
169428.0,47.0,Male,9.0,30.0,5.0,16.0,Basic,Annual,642.0,5.0,Yes
417497.0,33.0,Female,57.0,13.0,3.0,4.0,Standard,Annual,887.81,15.0,No
116402.0,41.0,Male,2.0,16.0,6.0,10.0,Premium,Quarterly,163.0,8.0,Yes
170192.0,31.0,Male,23.0,1.0,4.0,16.0,Premium,Quarterly,264.0,11.0,Yes
308178.0,34.0,Male,8.0,21.0,1.0,12.0,Basic,Quarterly,829.62,12.0,No
277561.0,43.0,Male,60.0,26.0,1.0,13.0,Basic,Quarterly,893.32,22.0,No
336350.0,25.0,Male,55.0,4.0,1.0,18.0,Premium,Annual,600.66,24.0,No
387601.0,46.0,Male,43.0,27.0,1.0,14.0,Premium,Annual,997.87,16.0,No
424504.0,36.0,Male,29.0,18.0,1.0,5.0,Standard,Quarterly,670.48,2.0,No
260902.0,47.0,Male,32.0,14.0,3.0,9.0,Premium,Annual,869.68,11.0,No
180547.0,29.0,Male,3.0,11.0,0.0,26.0,Standard,Monthly,545.0,17.0,Yes
149581.0,48.0,Male,10.0,30.0,6.0,1.0,Basic,Annual,123.0,8.0,Yes
356546.0,39.0,Female,31.0,13.0,3.0,3.0,Basic,Annual,979.76,7.0,No
56060.0,55.0,Female,43.0,24.0,5.0,8.0,Premium,Quarterly,782.0,1.0,Yes
393773.0,39.0,Male,44.0,26.0,2.0,7.0,Premium,Annual,772.9,9.0,No
264692.0,23.0,Male,45.0,13.0,2.0,11.0,Standard,Annual,631.1,17.0,No
335403.0,50.0,Female,59.0,30.0,0.0,15.0,Standard,Annual,774.37,8.0,No
300107.0,43.0,Male,44.0,3.0,0.0,5.0,Premium,Quarterly,990.2,3.0,No
437233.0,39.0,Male,39.0,2.0,2.0,0.0,Standard,Quarterly,697.78,16.0,No
325299.0,49.0,Male,13.0,27.0,4.0,16.0,Premium,Quarterly,866.25,15.0,No
88429.0,34.0,Female,43.0,1.0,10.0,17.0,Standard,Monthly,361.0,27.0,Yes
190848.0,24.0,Female,15.0,25.0,10.0,13.0,Basic,Quarterly,214.0,18.0,Yes
423653.0,30.0,Male,27.0,4.0,2.0,12.0,Basic,Annual,815.39,3.0,No
379758.0,43.0,Male,53.0,26.0,1.0,7.0,Standard,Annual,566.41,23.0,No
29156.0,21.0,Male,19.0,20.0,2.0,17.0,Premium,Quarterly,974.0,5.0,No
171684.0,53.0,Male,3.0,4.0,7.0,17.0,Standard,Annual,517.0,9.0,Yes
263297.0,42.0,Female,24.0,26.0,0.0,0.0,Standard,Annual,779.47,10.0,No
314767.0,50.0,Male,27.0,12.0,1.0,9.0,Basic,Quarterly,791.97,2.0,No
153522.0,29.0,Female,8.0,28.0,9.0,16.0,Premium,Annual,295.0,10.0,Yes
308705.0,27.0,Male,37.0,15.0,2.0,18.0,Basic,Quarterly,640.57,21.0,No
238467.0,65.0,Male,4.0,27.0,0.0,26.0,Premium,Annual,941.28,6.0,Yes
385197.0,48.0,Male,41.0,13.0,2.0,16.0,Basic,Quarterly,652.84,22.0,No
428249.0,45.0,Male,51.0,15.0,0.0,4.0,Basic,Quarterly,633.39,20.0,No
392886.0,43.0,Male,38.0,9.0,3.0,13.0,Standard,Annual,524.54,8.0,No
424825.0,43.0,Male,30.0,21.0,1.0,7.0,Basic,Annual,749.71,10.0,No
398578.0,18.0,Female,16.0,11.0,1.0,10.0,Premium,Quarterly,689.96,5.0,No
128597.0,53.0,Male,46.0,3.0,10.0,1.0,Basic,Quarterly,123.0,20.0,Yes
219504.0,54.0,Male,12.0,26.0,9.0,2.0,Basic,Quarterly,808.96,23.0,Yes
332278.0,38.0,Male,11.0,20.0,0.0,11.0,Basic,Annual,787.61,24.0,No
108653.0,62.0,Male,22.0,9.0,4.0,19.0,Standard,Quarterly,488.0,29.0,Yes
441365.0,43.0,Male,46.0,25.0,2.0,18.0,Standard,Quarterly,586.32,1.0,No
103778.0,51.0,Female,13.0,20.0,1.0,4.0,Premium,Monthly,544.0,18.0,Yes
195162.0,41.0,Male,47.0,27.0,2.0,12.0,Standard,Monthly,418.0,25.0,Yes
375790.0,41.0,Male,7.0,24.0,0.0,9.0,Premium,Quarterly,918.27,23.0,No
100907.0,38.0,Male,14.0,23.0,3.0,22.0,Premium,Monthly,632.0,28.0,Yes
284405.0,33.0,Male,28.0,20.0,2.0,7.0,Premium,Quarterly,966.14,16.0,No
125250.0,36.0,Male,4.0,3.0,5.0,13.0,Basic,Monthly,990.0,5.0,Yes
151303.0,61.0,Female,51.0,6.0,2.0,14.0,Standard,Quarterly,821.0,8.0,Yes
440119.0,23.0,Male,6.0,9.0,2.0,16.0,Standard,Quarterly,900.94,8.0,No
88096.0,31.0,Male,42.0,27.0,9.0,10.0,Basic,Annual,541.0,4.0,Yes
179228.0,19.0,Female,58.0,4.0,9.0,16.0,Basic,Monthly,664.0,9.0,Yes
230678.0,43.0,Male,3.0,9.0,9.0,23.0,Basic,Annual,681.73,25.0,Yes
276503.0,31.0,Male,34.0,27.0,3.0,14.0,Standard,Annual,933.39,30.0,No
229978.0,46.0,Male,33.0,7.0,4.0,19.0,Basic,Monthly,754.66,24.0,Yes
197817.0,40.0,Female,45.0,5.0,9.0,2.0,Standard,Quarterly,214.0,13.0,Yes
196468.0,52.0,Male,60.0,25.0,10.0,8.0,Basic,Annual,967.0,22.0,Yes
258104.0,22.0,Male,7.0,18.0,4.0,7.0,Standard,Monthly,565.01,5.0,Yes
182582.0,35.0,Male,34.0,14.0,7.0,29.0,Standard,Quarterly,625.0,1.0,Yes
196623.0,44.0,Male,16.0,23.0,4.0,4.0,Basic,Annual,403.0,6.0,Yes
119702.0,40.0,Female,6.0,22.0,2.0,8.0,Basic,Monthly,582.0,3.0,Yes
375995.0,18.0,Male,13.0,17.0,0.0,18.0,Premium,Annual,935.44,22.0,No
179774.0,23.0,Female,51.0,2.0,7.0,0.0,Basic,Monthly,613.0,16.0,Yes
25418.0,57.0,Male,10.0,28.0,3.0,15.0,Basic,Annual,401.0,26.0,Yes
33274.0,37.0,Male,58.0,17.0,4.0,14.0,Standard,Monthly,160.0,18.0,Yes
425778.0,31.0,Male,60.0,26.0,3.0,4.0,Standard,Annual,549.08,22.0,No
342314.0,43.0,Male,9.0,3.0,3.0,14.0,Premium,Annual,857.1,4.0,No
40505.0,31.0,Male,16.0,10.0,8.0,1.0,Standard,Quarterly,662.0,15.0,Yes
367528.0,22.0,Female,11.0,23.0,0.0,6.0,Basic,Annual,710.59,13.0,No
61004.0,54.0,Female,37.0,16.0,9.0,11.0,Premium,Annual,528.0,28.0,Yes
22202.0,47.0,Female,19.0,12.0,2.0,22.0,Basic,Annual,809.0,21.0,Yes
107510.0,47.0,Male,48.0,8.0,1.0,22.0,Basic,Monthly,780.0,25.0,Yes
326262.0,31.0,Male,21.0,24.0,3.0,1.0,Basic,Annual,663.78,28.0,No
427892.0,43.0,Male,54.0,12.0,1.0,12.0,Premium,Annual,832.54,28.0,No
150846.0,47.0,Male,47.0,6.0,3.0,28.0,Premium,Annual,785.0,19.0,Yes
156923.0,51.0,Male,12.0,1.0,8.0,25.0,Standard,Quarterly,807.0,25.0,Yes
20846.0,27.0,Male,37.0,10.0,9.0,17.0,Basic,Annual,954.0,9.0,Yes
261519.0,47.0,Male,19.0,28.0,3.0,13.0,Basic,Annual,582.66,29.0,No
363771.0,43.0,Female,53.0,29.0,4.0,3.0,Basic,Annual,690.72,1.0,No
178370.0,36.0,Male,7.0,28.0,6.0,7.0,Premium,Annual,753.0,15.0,Yes
113764.0,20.0,Male,42.0,30.0,3.0,7.0,Standard,Annual,267.0,21.0,Yes
19097.0,33.0,Male,58.0,23.0,5.0,21.0,Basic,Annual,584.0,2.0,Yes
12515.0,65.0,Female,15.0,26.0,1.0,0.0,Premium,Quarterly,405.0,24.0,Yes
131040.0,55.0,Male,26.0,23.0,2.0,12.0,Premium,Quarterly,479.0,7.0,Yes
255519.0,36.0,Female,14.0,11.0,10.0,26.0,Basic,Annual,154.37,25.0,Yes
261718.0,43.0,Male,20.0,21.0,3.0,20.0,Standard,Quarterly,588.12,20.0,No
